Date,BEDOK CANAL (mm),BEDOK RESERVOIR (mm),EAST COAST LAGOON (mm),GEYLANG RIVER (mm),JURONG LAKE (mm),KALLANG BASIN (mm),KALLANG RIVER (mm),KRANJI RESERVOIR (mm),LAKE LITTLE GUILIN (mm),LOWER PEIRCE RESERVOIR (mm),LOWER SELETAR RESERVOIR (mm),MACRITCHIE RESERVOIR (mm),MARINA BAY (mm),MURAI RESERVOIR (mm),PANDAN RESERVOIR (mm),PELTON CANAL (mm),POYAN RESERVOIR (mm),ROCHOR CANAL (mm),ROCHOR RIVER (mm),SARIMBUN RESERVOIR (mm),SIGLAP CANAL (mm),SINGAPORE RIVER (mm),SUNGEI API API (mm),SUNGEI BEDOK (mm),SUNGEI BERIH (mm),SUNGEI BULOH WETLAND RESERVE (mm),SUNGEI CHANGI (mm),SUNGEI HALUS (mm),SUNGEI JURONG (mm),SUNGEI KANGKAR (mm),SUNGEI KETAPANG (mm),SUNGEI KHATIB BONGSU (mm),SUNGEI LANCHAR (mm),SUNGEI LOYANG (mm),SUNGEI MANDAI (mm),SUNGEI MANDAI KECHIL (mm),SUNGEI PANDAN (mm),SUNGEI PANG SUA (mm),SUNGEI PENG SIANG (mm),SUNGEI PINANG (mm),SUNGEI PUNGGOL (mm),SUNGEI SELARANG (mm),SUNGEI SELETAR (mm),SUNGEI SEMBAWANG (mm),SUNGEI SERANGOON (mm),SUNGEI SIMPANG (mm),SUNGEI TAMPINES (mm),SUNGEI TENGAH (mm),SUNGEI THO PEK KONG (mm),SUNGEI ULU PANDAN (mm),SUNGEI WHAMPOA (mm),TAMPINES QUARRY PARK (mm),TENGEH RESERVOIR (mm),ULU PANDAN CANAL (mm),UPPER PEIRCE RESERVOIR (mm),UPPER SELETAR RESERVOIR (mm),YISHUN POND (mm)
8/1/2015,4.10800457,4.158054829,7.11649704,30.87742043,72.25710297,102.3356018,79.96450043,52.15407944,112.3846817,118.9331284,14.55241966,130.1280518,122.4407578,18.50607681,57.79086304,25.28596687,71.25733948,113.1258926,91.42917633,14.10845566,7.857738495,127.891777,1.550245166,5.192369938,32.92378616,20.7655201,0.14899902,0.179636106,57.85834885,34.41523361,4.631299019,3.55574441,36.33206177,2.130645752,18.87817001,11.13012123,57.83480835,52.27564621,71.31406403,2.433054209,6.595974445,0.960920036,33.1166153,4.373222351,3.108999252,1.925186992,2.342590332,54.3761673,36.51747894,57.30397415,87.44133759,3.015681744,69.98667908,61.27786255,101.8608017,40.28256989,4.835803032
9/1/2015,0.001400757,5.61E-05,0,0,17.32364082,0,0,0.605672181,2.313931227,2.516857147,0.041136451,6.567968369,0,0.20973587,10.99010086,0,5.380745888,0,0,0.344104141,0,0,0,0.003202739,3.655871153,4.527185917,0.003964233,0,20.27083588,11.30366898,0.001121784,0,37.44433975,0,0.022008559,0.026766967,6.267982006,0.179630056,3.415086508,0,0,0.001046317,2.22E-05,0,0,0,0,14.79292202,8.554273605,1.556881547,0,0,18.0172596,0.309181601,0.357257426,31.46273041,0
10/1/2015,0.883404553,1.159865975,1.199491858,2.367028236,0.958972156,83.25541687,6.168848991,6.2194767,21.66791725,27.82170105,16.97271347,18.61107254,100.9907608,4.292188644,0.842744768,3.153963804,13.67040825,49.10930634,46.0263443,5.457839489,1.958454132,66.7897644,0.355994195,0.597293258,4.050623417,0.029210629,0.017361451,0.37512207,1.49111855,6.269277573,0.487712979,0.726739168,0.648068726,0.251579881,39.85389709,27.51054955,0.488702685,41.0225029,11.04574013,0.811877429,1.3055861,0.140860423,27.16628456,3.352970839,0.940690994,0.000411184,0.619404018,11.06094456,3.81473875,1.547347188,10.53861427,1.237971663,6.489431381,3.737698317,48.87869263,1.66567266,6.451855659
11/1/2015,42.97143936,56.22159958,17.72193909,31.69018936,31.40850258,16.60243797,39.85962677,21.12032127,61.44309235,64.27320862,86.68141937,41.97040558,31.81020737,45.49698639,30.1212635,51.24345016,15.44122124,19.63345718,19.65883827,37.41662979,31.60204697,34.21831131,14.20592499,25.69034958,38.39728928,29.20236015,1.189660668,29.65246964,25.84504509,30.46976471,16.97442627,61.46534348,12.50222492,5.217050552,24.69888115,21.64881897,27.64010811,24.84175682,26.28211021,128.9112549,144.6887665,3.383010149,56.98963547,20.06712341,106.3708038,9.3201437,18.17914391,34.8084259,34.12691498,38.862854,29.48467636,70.45796204,7.468593597,44.53606033,52.18112183,14.82643318,82.229599
12/1/2015,1.972113013,1.530184388,1.764847636,0.394232869,3.92778492,0.574791551,0.13370876,5.67253828,14.21386147,1.938639283,0.186284274,2.644751549,1.300952673,0.048910141,4.374333382,0.416895539,0.626026869,0.463478088,0.38718316,0.082877934,0.700382233,1.619166732,2.517514467,0.818288684,0.034526151,0.044450842,0.883389294,2.374707699,4.61800909,0.77917558,0.909579575,0.013832494,6.180358887,0.260655344,2.610301256,1.470053077,5.36408329,12.4192791,4.48444891,0.314074695,0.010165744,0.475626618,0.914176226,0.104110718,0.434366226,0.162440255,1.25012207,2.473640919,0.123931885,11.28082561,0.164147943,1.162859201,0.503362656,9.748161316,2.433724403,2.102925539,0.043374635
13/1/2015,0,0,0,0.007083469,0.131014585,0.136939421,0.000231291,0,0,0.14925766,0,0.373126984,0.169119701,0,0.003791653,0.000816345,0.272122413,0.007736206,0.064845875,0,0,0.027056012,0,4.50E-05,0.14730297,0,9.77E-05,0,0.067496166,0,0.125928149,0,0.544916809,0,0,0,6.68E-05,0,2.09E-05,0,0,0,0,0,0,0,0,0.018730504,0.124400549,0.035650957,0.002584839,0,0.543703079,0.922777653,0.548310399,0.371271044,0
14/1/2015,0,0,0,0,0.001797921,0,0,0,0,0,0,0,0,0,0.001914511,0,0.003903989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005340576,0,0,0,0,0,1.45E-05,0,0,0,0,0,0,0,0,0.001204306,1.31E-05,0.000957288,0,0,0.000617981,0.015329462,0,0.025751023,0
15/1/2015,7.226501465,5.011880398,39.29975891,3.307623863,0.195842639,3.579902172,1.107248425,0.148708761,0.364389032,0.921279907,0.416623473,7.080042839,5.281970978,0.19701767,0.358412147,1.683352113,0.509468913,1.565414429,2.085778236,0.376886398,4.095985413,3.447591066,8.69212532,15.48357487,1.105210304,0.002353834,32.89066315,6.548725128,0.109186664,0.199644431,29.20406914,0.28375566,0.098655701,15.35653877,0.041256174,0.017254639,0.371323347,0.100962922,0.14820461,2.349738836,2.2397089,23.04180527,0.220741972,0.079718016,2.297620773,0.275710255,9.482948303,0.102944449,0.953630745,0.359593451,1.005639672,4.881914616,0.189979553,2.237055779,0.351976812,0.079476491,0.363143921
16/1/2015,143.4438782,87.7437973,178.8465576,63.45973206,7.037709236,44.84936905,29.82653427,51.10508728,8.741186142,9.819483757,8.274341583,7.699357986,38.19438171,17.51977348,2.370021343,26.69061089,16.92315292,47.32654953,43.67550278,12.26647949,82.10022736,44.79774475,26.10005188,188.5823975,23.24949646,9.858694077,16.40944862,13.96936321,3.226545095,42.92024231,187.6374207,3.374505281,12.6662674,51.57162857,40.50209808,48.3597641,1.813665509,22.60017586,39.53065109,11.49351597,8.449103355,49.39470673,5.395388603,9.594360352,13.06377983,1.880070686,65.75701904,38.08460617,24.74619484,3.598751783,34.36079788,48.31702805,16.62133598,12.20912743,6.462006569,10.60729408,3.520410061
17/1/2015,0.01083374,0.091242611,0.231577024,1.011901855,0,1.663970947,0.78056258,0,0,0.552538574,0.114787199,0.396101952,2.098667622,0,1.000037313,0.743309021,0.090130277,1.246990204,1.394584298,0,0.219516754,2.006065845,0.005668309,0.058911774,0,0,0,0.027070697,0.005763463,0,0.073549464,0.055085834,0.002059937,0,0,0,1.475658655,0,0,0.277385265,0,0,0.213417754,0,0.268117905,0.004391319,0.001474481,0,0,1.447802067,0.812127709,0.15212141,0.041280746,1.377557039,0.428951502,0.003601074,0.086175539
